 Year , Electric , Propane , Methanol (M85) , LNG , Hydrogen , Biodiesel , CNG , E85 , Total ,Total alt fuels except electric
1992,0,3297,43,0,0,0,349,2,3691,3691
1993,0,3297,50,0,0,0,497,7,3851,3851
1994,0,3299,82,0,0,0,1042,32,4455,4455
1995,188,3299,88,0,0,0,1065,37,4677,4489
1996,194,4252,95,72,0,0,1419,68,6100,5906
1997,310,4255,106,71,0,0,1426,71,6239,5929
1998,486,5318,91,66,0,0,1268,40,7269,6783
1999,490,4153,51,46,0,0,1267,49,6056,5566
2000,558,3268,3,44,0,2,1217,113,5205,4647
2001,693,3403,0,44,0,16,1232,154,5542,4849
2002,873,3431,0,36,7,79,1166,149,5741,4868
2003,830,3966,0,62,7,142,1035,188,6230,5400
2004,671,3689,0,58,9,176,917,200,5720,5049
2005,588,2995,0,40,14,304,787,436,5164,4576
2006,465,2619,0,37,17,459,732,762,5091,4626
2007,442,2371,0,35,32,742,721,1208,5551,5109
2008,430,2175,0,38,46,645,778,1644,5756,5326
2009,465,2468,0,36,63,679,772,1928,6411,5946
2010,541,2647,0,39,58,644,841,2142,6912,6371
2011,3394,2597,0,45,56,627,910,2442,10071,6677
2012,13392,2654,0,59,58,675,1107,2553,20498,7106
2013,19410,2956,0,81,53,757,1263,2639,27159,7749
2014,25602,2931,0,103,51,783,1495,2840,33805,8203
2015,30945,3594,0,111,39,721,1563,2990,39963,9018
2016,42029,3665,0,140,54,697,1722,3091,51398,9369
2017,50627,3514,0,131,64,702,1693,3322,60053,9426
2018,61067,3341,0,137,60,681,1659,3617,70562,9495
2019,78301,3178,0,119,61,613,1591,3777,87640,9339
